factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after
futures_open_interest_sum,10m,derivatives,144,0.002139575280315368,0.23661708966248504,0.0028927887915178663,-10.926909288929199,1953.1441317039819,0.10031425436581318,12.550939671827475,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_sum_10m.png,0.245478464837659,0.01,False,diff1,True
options_25delta_skew_1_week,10m,derivatives,144,0.0033266202811476644,0.21261178456843635,-2.596866174807238e-10,-1.277401181677492e-06,0.004892653397678069,0.0027023947018101836,8.25732237450814,2.3641707023847524e-89,0.0,False,False,44782,./data/image_multi_freq/options_25delta_skew_1_week_10m.png,1.991803960806806e-10,0.01,False,diff1,True
futures_estimated_leverage_ratio,10m,derivatives,144,0.0019032506920179334,0.2275085523896389,-2.558321073073282e-10,-1.320780326129493e-05,0.0015049235901400436,0.022599479678537062,11.180756567428775,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_estimated_leverage_ratio_10m.png,0.3046438044816279,0.01,False,diff1,True
futures_volume_buy_perpetual_sum,10m,derivatives,144,0.0012467520100374557,0.1509179809418384,-0.0004288998250279769,31.081843095150614,2269.6279618085073,1.1819924166742233,36.70940621377915,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_buy_perpetual_sum_10m.png,0.0,0.01,False,diff1,True
inflation_rate,1h,supply,24,0.6972929219212813,0.11126061660305342,-2.8418083489119932e-09,-4.212930330365017e-06,0.00036255292664865644,-0.1300877245132437,4.126680337950265,0.0,1.163044130227219e-158,False,False,7463,./data/image_multi_freq/inflation_rate_1h.png,3.047896987596639e-17,0.1,True,none,True
active_1y_2y,10m,supply,144,0.000921049325921966,0.7289286480887395,0.0016264233753577164,0.4145946388078236,767.5501510529309,-18.49023995210013,4258.003898784028,0.0,0.0,False,False,44781,./data/image_multi_freq/active_1y_2y_10m.png,0.6008108727185021,0.01,False,diff2,True
highly_liquid_sum,10m,supply,144,0.003968744039396127,0.3496011413152541,-0.0019295857591561554,-4.4208028763277705,410.7942891690037,-2.3314573081804024,101.06874411234429,4.477211858047883e-09,0.0,False,False,44782,./data/image_multi_freq/highly_liquid_sum_10m.png,0.9925442762058503,0.01,False,diff1,True
current,10m,supply,144,0.007494195443218077,0.240255150727002,4.622230642696831e-06,0.4136953824599035,2.730657220677174,1.3216025286394495,3.721008049681517,0.00019748420397446798,0.0,False,False,44782,./data/image_multi_freq/current_10m.png,0.9743057042158195,0.01,False,diff1,True
revived_more_2y_sum,10m,supply,144,0.003444366795591469,0.7642184638835742,-0.0006400032164094359,2.002828849600254,314.5904319058202,4.1349367638059,417.8100698826905,0.0,0.0,False,False,44782,./data/image_multi_freq/revived_more_2y_sum_10m.png,0.0,0.01,False,diff1,True
revived_more_3y_sum,10m,supply,144,0.0016670151495014652,0.6710937789652692,-2.6908945246717993e-05,0.7742557861214324,308.3368906978008,1.5497679176779768,901.0172131223669,0.0,0.0,False,False,44782,./data/image_multi_freq/revived_more_3y_sum_10m.png,0.0,0.01,False,diff1,True
active_1m_3m,10m,supply,144,0.001508591088560679,0.7103779361279604,-0.005492050531989737,-6.56631698509769,2120.634201911034,0.4396992117224277,758.234031148871,0.0,0.0,False,False,44781,./data/image_multi_freq/active_1m_3m_10m.png,0.7659623925206513,0.01,False,diff2,True
