,factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after,score
4,options_atm_implied_volatility_3_months,10m,derivatives,144,0.0071437305990732,0.4526574723265775,-6.98773084975802e-07,0.0012395991492691,0.0767615353814423,0.2982431084819787,68.40466159212008,0.0,0.0,False,False,44782,./data/image_multi_freq/options_atm_implied_volatility_3_months_10m.png,0.3841198250893132,0.01,False,diff1,True,0.4598012029256507
14,futures_open_interest_cash_margin_sum,10m,derivatives,144,0.0026243778109174,0.4459196199499334,-0.0021743174300347,-21.13330674872634,818.6849239349891,0.5370625313218704,123.37039920704792,2.102984474152733e-299,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_cash_margin_sum_10m.png,0.2668137950844101,0.01,False,diff1,True,0.4485439977608508
20,futures_open_interest_cash_margin_perpetual_sum,10m,derivatives,144,0.002476929981378,0.442396764461368,-0.0031274938650345,-19.996268254914835,791.1456958868729,-0.4752376165129088,105.95136200720306,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_cash_margin_perpetual_sum_10m.png,0.2523486837580889,0.01,False,diff1,True,0.444873694442746
49,illiquid_sum,10m,supply,144,0.0053720139359093,0.4392201207210704,0.0029959434439716,10.245755129520337,446.21594231977787,1.9813930246607208,104.0600993563796,4.502498520135024e-07,0.0,False,False,44782,./data/image_multi_freq/illiquid_sum_10m.png,0.9965309524648298,0.01,False,diff1,True,0.4445921346569797
70,transfers_volume_from_otc_desks_sum,10m,transactions,144,0.0020278207654605,0.4288178861986184,0.0001693073192887,-0.1335463505744645,102.38878935510964,-0.7466826940444283,329.43622481938644,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_from_otc_desks_sum_10m.png,0.0,0.0435125846702723,False,diff1,True,0.43084570696407887
119,transfers_volume_sth_to_exchanges_loss_sum,10m,transactions,144,0.0021452063443299,0.4153667628549333,-0.0005630656950118,0.5224910225297308,256.4676653554215,-0.4093656126297621,100.10328074860465,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_sth_to_exchanges_loss_sum_10m.png,0.0,0.01,False,diff1,True,0.4175119691992632
61,active_more_1y_percent,10m,supply,144,0.0006446235603488,0.4055999902005595,2.9606255956176817e-11,1.9579008733843398e-07,4.451986120116672e-05,0.1870954393648293,4369.631279325264,0.0,0.0,False,False,44781,./data/image_multi_freq/active_more_1y_percent_10m.png,0.5381536347730401,0.01,False,diff2,True,0.40624461376090826
18,futures_open_interest_crypto_margin_perpetual_sum,10m,derivatives,144,0.0020388403757346,0.3986544911372732,0.0064835600010208,11.728748670386242,1121.383656212141,0.1859762535394882,13.843850674082384,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_crypto_margin_perpetual_sum_10m.png,2.8869803078241753e-08,0.01,False,diff1,True,0.4006933315130078
72,transfers_volume_exchanges_net,10m,transactions,144,0.0046182255440874,0.3807518132151818,-0.0018928488120906,-1.3051705960744069,370.4470691622733,-2.3471073664511333,140.4834358781912,1.5333874997952395e-06,0.0,False,False,44783,./data/image_multi_freq/transfers_volume_exchanges_net_10m.png,0.0,0.076891425352681,True,none,True,0.38537003875926923
57,current_adjusted,10m,supply,144,0.0002796447940022,0.3773754425896616,-0.0001157189093846,-0.8576736559529551,369.89003528706496,-0.4248607905652698,16197.16690398178,0.0,0.0,False,False,44781,./data/image_multi_freq/current_adjusted_10m.png,0.0136806155336189,0.01,False,diff2,True,0.3776550873836638
24,options_atm_implied_volatility_1_month,10m,derivatives,144,0.0087964168422354,0.3684570588586144,-7.630529216860785e-07,0.0037809152998566,0.1266280842057732,0.4807017721388629,55.254457022748326,0.0,0.0,False,False,44782,./data/image_multi_freq/options_atm_implied_volatility_1_month_10m.png,0.0079879164193027,0.01,False,diff1,True,0.3772534757008498
21,futures_open_interest_crypto_margin_sum,10m,derivatives,144,0.0018770135415689,0.3720252603905774,0.0055961024847932,11.94182023213806,1499.7483719354918,0.0978117327235141,13.064433225955025,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_crypto_margin_sum_10m.png,0.000801883214876,0.01,False,diff1,True,0.37390227393214626
143,min_100_count,10m,addresses,144,0.0022253260927702,0.3672735204876843,-5.835303318657976e-06,0.0315610082127734,3.2264252721481808,1.63349029334366,184.15295392655275,0.0,0.0,False,False,44781,./data/image_multi_freq/min_100_count_10m.png,0.8129682440695619,0.01,False,diff2,True,0.3694988465804545
52,active_more_2y_percent,10m,supply,144,0.0050347223121997,0.3615594185665537,-1.352864947121743e-10,2.733981418395508e-07,2.359762159650651e-05,70.60462171380433,10588.274416402135,3.1725812795479867e-233,0.0,False,False,44782,./data/image_multi_freq/active_more_2y_percent_10m.png,0.973192334617104,0.01,False,diff1,True,0.3665941408787534
132,supply_balance_01_1,10m,addresses,144,0.0014626129424847,0.3535644048739004,-2.009653054401605e-05,-0.3008261725873739,20.528812275526803,-1.1342235663833946,56.18384117045667,0.0,0.0,False,False,44781,./data/image_multi_freq/supply_balance_01_1_10m.png,0.6598798023032743,0.01,False,diff2,True,0.35502701781638507
43,highly_liquid_sum,10m,supply,144,0.0039687440393961,0.3496011413152541,-0.0019295857591561,-4.4208028763277705,410.7942891690037,-2.3314573081804024,101.06874411234428,4.477211858047883e-09,0.0,False,False,44782,./data/image_multi_freq/highly_liquid_sum_10m.png,0.9925442762058504,0.01,False,diff1,True,0.3535698853546502
149,realized_volatility_3_months,10m,market,144,0.0026409100041423,0.3504864907456442,-3.132058786330026e-09,-3.794503759560819e-06,0.0009313758935592,-0.8229052426818727,110.98394396721798,2.0762198189751068e-136,0.0,False,False,44781,./data/image_multi_freq/realized_volatility_3_months_10m.png,0.4918725893987206,0.01,False,diff2,True,0.3531274007497865
51,active_more_3y_percent,10m,supply,144,0.0039244876174466,0.3459722757528038,-1.8189637292761702e-10,1.623452676926065e-07,2.375313650602985e-05,46.06166756272573,4609.973852026526,0.0,0.0,False,False,44782,./data/image_multi_freq/active_more_3y_percent_10m.png,0.9608312501193316,0.01,False,diff1,True,0.34989676337025044
98,transfers_volume_entity_adjusted_median,10m,transactions,144,0.0051080612424516,0.343917826534402,1.228541369253608e-08,8.671101730171317e-05,0.0014267900420058,0.0965466197210244,67.57467652107233,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_entity_adjusted_median_10m.png,2.1541722047817996e-30,0.01,False,diff1,True,0.3490258877768536
160,price_realized_median_usd,1h,market,24,0.003257467897245,0.3432147848200752,1.0117863363427176e-05,0.0284118672387559,13.389019051574856,-0.0507356601335754,288.5897286132655,0.0,0.0,False,False,7461,./data/image_multi_freq/price_realized_median_usd_1h.png,0.9235129889183574,0.01,False,diff2,True,0.34647225271732024
10,futures_funding_rate_perpetual,10m,derivatives,144,0.0064333302381161,0.3373601239127648,-1.486076319311807e-12,-3.876279032500669e-08,4.7599268950512444e-06,-3.2284275942004497,193.3112776481354,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_funding_rate_perpetual_10m.png,2.2970163293024214e-18,0.01,False,diff1,True,0.3437934541508809
22,futures_open_interest_crypto_margin_relative_perpetual,10m,derivatives,144,0.0026046229079205,0.3366960798554471,5.101447714459587e-09,3.0447665308979568e-05,0.0028170558196112,0.0748362446275127,12.360336526349908,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_crypto_margin_relative_perpetual_10m.png,0.0064205762501917,0.01,False,diff1,True,0.3393007027633676
58,revived_more_1y_sum,10m,supply,144,0.0071013266913298,0.3310969495158327,0.001335499959895,16.081317206200886,531.4315455897344,58.53557352940422,5894.367931407358,0.0,0.0,False,False,44783,./data/image_multi_freq/revived_more_1y_sum_10m.png,0.0,0.1,True,none,True,0.3381982762071625
123,supply_balance_100_1k,10m,addresses,144,0.0029127496668765,0.311922695478752,0.0005979694634834,13.759937623647112,658.4809238088945,1.044318851677266,67.04898381195287,7.085128748764455e-45,0.0,False,False,44782,./data/image_multi_freq/supply_balance_100_1k_10m.png,0.6991629811382846,0.01,False,diff1,True,0.3148354451456285
17,futures_open_interest_crypto_margin_relative,10m,derivatives,144,0.0022581747747303,0.3115396805679692,2.209061392020137e-09,3.123636069566582e-05,0.0031515080186991,0.0567064502785712,11.703759649007695,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_crypto_margin_relative_10m.png,0.0291741838134089,0.01,False,diff1,True,0.3137978553426995
